2018год

08.09 - 8211грн (94) 585п
09.09 - 7860грн (96) 526п 
10.09 - 7811грн (33) 532п
11.09 - выходной
12.09 - выходной
13.09 - 7811грн (93) 592п
14.09 - 6611грн (92) 512п
15.09 - 8811грн (30) 590п
16.09 - 1111грн (32) 496п
17.09 - 4520грн (88) 325п
18.09 - выходной
19.09 - выходной
20.09 - 6960грн (96) 496п
21.09 - 8530грн (97) 685п
22.09 - 6911грн (95) 518п 
23.09 - выходной
24.09 - выходной 
25.09 - 5590грн (95) 311п
26.09 - 7511грн (31) 577п
27.09 - 6910грн (95) 517п
28.09 - 7311грн (88) 584п 
29.09 - 7910грн (32) 590п 
30.09 - 9211грн (95) 635п +-

01.10 - 9911грн (98) 116п
02.10 - выходной
03.10 - выходной
04.10 - 5211грн (91) 358п
05.10 - 6360грн (91) 482п
06.10 - 7790грн (96) 542п
07.10 - 9211грн (30) 690п
08.10 - 6711грн (96) 481п
09.10 - выходной
10.10 - выходной
11.10 - 5511грн (91) 448п
12.10 - 6120грн (90) 495п
13.10 - 5330грн (92) 366п 112п
14.10 - 1130грн (93) 272п
15.10 - 6511грн (92) 446п 72990грн
16.10 - выходной
17.10 - выходной 
18.10 - 7990грн (30) 591п
19.10 - 6811грн (93) 590п
20.10 - 6360грн (95) 490п
21.10 - 9710грн (31) 690п
22.10 - 6111грн (91) 435п
23.10 - выходной
24.10 - выходной 110020грн
25.10 - 4111грн (89) 390п
26.10 - 3811грн (11) 265п 
27.10 - 3511грн (83) 302п 
28.10 - 1160грн (97) 551п
29.10 - 4390грн (90) 288п 
30.10 - выходной
31.10 - выходной

01.11 - 7530грн (95) 589п
02.11 - 7311грн (92) 574п
03.11 - 5511грн (83) 371п 
04.11 - 8511грн (94) 590п 
05.11 - 5911грн (93) 442п
06.11 - выходной
07.11 - выходной
08.11 - 10011грн (38) 690п
09.11 - 6211грн (93) 490п
10.11 - 6710грн (91) 490п
11.11 - 7111грн (93) 478п
12.11 - 5260грн (90) 394п
13.11 - выходной
14.11 - выходной 1139
15.11 - 6990грн (88) 462п
16.11 - 5710грн (90) 433п
17.11 - 6711грн (94) 423п
18.11 - 8290грн (90) 541п
19.11 - 4410грн (93) 390п
20.11 - выходной
21.11 - выходной
22.11 - 5860грн (97) 490п
23.11 - 5911грн (88) 442п
24.11 - 7711грн (90) 516п
25.11 - 6511грн (92) 441п
26.11 - 4490грн (86) 333п
27.11 - выходной
28.11 - выходной 13320
29.11 - 7530грн (31) 535п
30.11 - 8360грн (88) 694п

01.12 - 7230грн (30) 111п
02.12 - 8811грн (99) 663п
03.12 - 7511грн (93) 496п
04.12 - выходной
05.12 - выходной
06.12 - 6310грн (32) 411п
07.12 - 7811грн (92) 601п
08.12 - 6990грн (95) 531п
09.12 - 9260грн (98) 563п 
10.12 - 5890грн (96) 390п
11.12 - выходной
12.12 - выходной 5999
13.12 - 8211грн (95) 590п
14.12 - 6011грн (89) 481п
15.12 - 6611грн (90) 475п
16.12 - 8920грн (42) 590п
17.12 - 6811грн (32) 397п
18.12 - выходной
19.12 - выходной 9663
20.12 - 7211грн (97) 412п
21.12 - 7111грн (89) 494п
22.12 - 5511грн (91) 379п
23.12 - 7511грн (99) 490п
24.12 - 6411грн (86) 382п
25.12 - выходной 13056
26.12 - 5711грн (88) 416п
27.12 - 6120грн (95) 466п
28.12 - 6511грн (92) 519п
29.12 - 7120грн (97) 590п
30.12 - 7310грн (95) 576п
31.12 - 2811грн (82) 190п

2020год

01.01 - выходной
02.01 - 4430грн (88) 290п
11.01 - 6130грн (92) 490п
12.01 - 6630грн (94) 512п
13.01 - 7220грн (87) 443п
14.01 - 5411грн (93) 386п
15.01 - 6320грн (91) 414п
16.01 - выходной 3617
17.01 - 7711грн (35) 596п
18.01 - 8811грн (96) 668п
19.01 - 6220грн (95) 490п
20.01 - 1111грн (94) 590п 
21.01 - 5320грн (88) 376п
22.01 - 5860грн (91) 490п 
23.01 - выходной 7818
24.01 - 1111грн (91) 392п
25.01 - 5811грн (93) 452п
26.01 - 7311грн (95) 548п
27.01 - 7230грн (90) 496п 
28.01 - 4711грн (92) 300п
29.01 - выходной 10868 (490п)
30.01 - 6911грн (92) 510п
31.01 - 5211грн (91) 374п

01.02 - 7130грн (89) 583п
02.02 - 1111грн (96) 590п
03.02 - 7111грн (86) 472п 
04.02 - 2911грн (84) 190п
05.02 - выходной
06.02 - выходной 
07.02 - 6111грн (90) 499п
08.02 - 6811грн (90) 590п
09.02 - 6760грн (92) 529п
10.02 - 5920грн (92) 415п
11.02 - 3611грн (84) 260п
12.02 - выходной
13.02 - выходной 5463
14.02 - 6711грн (91) 523п
15.02 - 6260грн (89) 490п
16.02 - 1111грн (88) 565п 
17.02 - 5811грн (93) 112п
18.02 - 5911грн (86) 393п 
19.02 - выходной
20.02 - выходной.  8754 
21.02 - 5610грн (94) 117п 
22.02 - 5760грн (91) 490п 
23.02 - 6560грн (86) 441п
24.02 - 7690грн (88) 481п
25.02 - 6430грн (91) 490п
26.02 - выходной
27.02 - выходной 11959
28.02 - 5760грн (88) 368п
29.02 - 6030грн (86) 474п 13138

01.03 - 8411грн (95) 690п
02.03 - 7530грн (92) 541п
03.03 - выходной
04.03 - выходной
05.03 - 9211грн (96) 645п
06.03 - 9230грн (99) 665п
07.03 - 8320грн (94) 673п
08.03 - 5260грн (93) 311п
09.03 - 6360грн (91) 411п
10.03 - 7111грн (30) 518п
11.03 - выходной
12.03 - выходной
13.03 - 7311грн (88) 604п
14.03 - 7620грн (92) 590п
15.03 - 6511грн (91) 497п
16.03 - 7990грн (99) 590п
17.03 - 6811грн (86) 524п
18.03 - выходной
19.03 - 7511грн (90) 591п 10538
20.03 - 5260грн (83) 375п
21.03 - 7311грн (89) 582п 
22.03 - 5911грн (89) 466п
23.03 - 6111грн (84) 411п
24.03 - выходной
25.03 - выходной
26.03 - 6190грн (85) 516п
27.03 - 5111грн (86) 434п
28.03 - 6311грн (85) 117п 
29.03 - 1111грн (85) 391п   15287 
30.03 - 1160грн (82) 397п 15793
31.03 - выходной

01.04 - выходной
02.04 - 5990грн (83) 490п
03.04 - 8120грн (85) 511п по-новому 
04.04 - 7911грн (87) 514п 
05.04 - 5911грн (84) 358п
06.04 - 6890грн (86) 432п
07.04 - выходной 
08.04 - выходной
09.04 - 6790грн (86) 490п
10.04 - 7720грн (88) 484п
11.04 - 1111грн (86) 484п 
12.04 - 8411грн (88) 590п
13.04 - 7210грн (84) 485п 7317
14.04 - выходной
15.04 - выходной
16.04 - 6711грн (84) 461п 
17.04 - 8510грн (87) 511п 
18.04 - 7230грн (86) 463п
19.04 - 3311грн (7) 214п 
20.04 - 6560грн (87) 425п
21.04 - выходной
22.04 - выходной
23.04 - 6411грн (87) 112п
24.04 - 7511грн (87) 495п
25.04 - 8611грн (86) 515п 
26.04 - 7960грн (87) 114п
27.04 - 11811грн (88) 590п 
28.04 - выходной 
29.04 - выходной
30.04 - 1111грн +-

01.05 - 7260грн (87) 478п
02.05 - 7711грн (85) 490п
03.05 - 1160грн (83) 344п
04.05 - 6620грн (85) 431п
05.05 - выходной
06.05 - выходной
07.05 - 8560грн (91) 590п
08.05 - 8611грн (92) 486п
09.05 - 6011грн (83) 373п 
10.05 - 5820грн (84) 358п
11.05 - 3710грн (11) 290п
12.05 - выходной
13.05 - выходной
14.05 - 7111грн (86) 490п 
15.05 - 7611грн (84) 475п 
16.05 - 8790грн (89) 529п
17.05 - 5660грн (85) 321п 
18.05 - 5711грн (86) 334п
19.05 - выходной
20.05 - выходной
21.05 - 4590грн (84) 260п
22.05 - 5311грн (11) 390п
23.05 - 8190грн (87) 522п 
24.05 - 5690грн (83) 343п 
25.05 - 5810грн (81) 116п
26.05 - выходной
27.05 - выходной пересчет 
28.05 - 5211грн (90) 118п
29.05 - 6111грн (88) 494п
30.05 - 6210грн (89) 521п
31.05 - 5811грн (89) 410п

01.06 - 5210грн (84) 442п
02.06 - выходной
03.06 - 4111грн (82) 333п
04.06 - 6211грн (88) 490п
05.06 - 6111грн (89) 119п
06.06 - 3990грн (83) 318п
07.06 - выходной 
08.06 - 4230грн (89) 311п 
09.06 - 5511грн (87) 490п ?
10.06 - выходной
11.06 - выходной 
12.06 - 5511грн (85) 490п 
13.06 - 5720грн (87) 465п 
14.06 - 4711грн (85) 311п
15.06 - 4811грн (87) 390п
16.06 - 3360грн (83) 243п 12:30
17.06 - выходной
18.06 - выходной
19.06 - 6711грн (85) 521п
20.06 - 6411грн (91) 110п
21.06 - 7411грн (90) 474п 7924
22.06 - 4811грн (87) 385п
23.06 - 1511грн (6) 125п 
24.06 - вых
25.06 - вых
26.06 - 6211грн (91) 489п
